,Place,Place Latitude,Place Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
123,Pune,18.521428,73.8544541,Rajmachikar Girni,18.518476486206055,73.85228729248047,Factory
124,Pune,18.521428,73.8544541,Aira Automation Engineers,18.519293828501183,73.86193927377462,Factory
125,Pune,18.521428,73.8544541,Precise Electronics,18.516113347446836,73.84781898648862,Factory
126,Pune,18.521428,73.8544541,DELUXE Dry cleaners and Washers,18.51246533185543,73.85378601296325,Factory
127,Aurangabad,19.877263,75.3390241,Daily Marathwada Sathi,19.877885,75.347589,Factory
128,Aurangabad,19.877263,75.3390241,BKT Tires,19.877900778215324,75.32223147297668,Factory
129,Nagpur,21.1498134,79.0820556,Homepride factory,21.134502,79.087858,Factory
130,Nagpur,21.1498134,79.0820556,Nirmal Aqua Industries,21.151016723858593,79.09978302522983,Factory
131,Nagpur,21.1498134,79.0820556,Shilpart Graphics,21.13399314880371,79.08741760253906,Factory
132,Bardoli,21.1220023,73.1135988,Bardoli Sugar Factory,21.13352,73.101911,Factory
133,Hyderabad,17.38878595,78.46106473453146,Shalimar Agro Tech Pvt Ltd,17.377391341748247,78.4726275385493,Factory
134,Hyderabad,17.38878595,78.46106473453146,Sarfaraz Bakes Industry,17.405521,78.457121,Factory
135,Morbi,22.8176662,70.8345928,Shriji Traders - Morbi,22.817666,70.834593,Factory
136,Morbi,22.8176662,70.8345928,swaminarayan mosaic tiles morbi,22.814321713678638,70.81882108987536,Factory
137,Morbi,22.8176662,70.8345928,Ashvin Metal Works,22.805851522519244,70.82095214455089,Factory
138,Kollam,8.8879509,76.5955013,4R Graphics,8.878054834142594,76.59747899686823,Factory
139,Kollam,8.8879509,76.5955013,Rotographics,8.873469915943264,76.59888396591705,Factory
140,Tiruvalla,9.3867448,76.5762652,C.M.S Weaving School Handloom,9.37207859739023,76.57768365773619,Factory
141,Ambattur,13.1128863,80.15986241084877,Godrej & Boyce Mfg. Co. Ltd.,13.113274632836701,80.16147094971878,Factory
142,Ambattur,13.1128863,80.15986241084877,Omega Techniks,13.112852,80.167885,Factory
143,Ambattur,13.1128863,80.15986241084877,Shrivik Industries Pvt Ltd,13.111980939291046,80.16909579205749,Factory
144,Ambattur,13.1128863,80.15986241084877,t.i.cycles,13.112860679626465,80.1492691040039,Factory
145,Ambattur,13.1128863,80.15986241084877,TI cycles,13.114340243899893,80.14777831988893,Factory
146,Ambattur,13.1128863,80.15986241084877,Pixel Display India (P) Ltd,13.112018,80.178109,Factory
147,Avadi,13.1254758,80.09409,engine factory,13.140429656360844,80.09422962678593,Factory
148,Ankleshwar,21.6293206,72.9945103,Jay Bharat Wood Industries - Ankleshwar,21.629321,72.99451,Factory
149,Ankleshwar,21.6293206,72.9945103,Chemical Machinery Mfg. Co.,21.635070462039685,73.00491750240326,Factory
150,Ankleshwar,21.6293206,72.9945103,FARBE FIRMA,21.63612759618441,73.00828099250793,Factory
151,Cochin,9.931308,76.2674136,VTJ Marine,9.932769,76.266409,Factory
152,Cochin,9.931308,76.2674136,Vee Tee Jay Exim,9.932858,76.266787,Factory
153,Cochin,9.931308,76.2674136,Sarswathi Metal Works,9.932876367134789,76.26907239239772,Factory
154,Cochin,9.931308,76.2674136,Nippon Toyota,9.931764652164974,76.27501741547732,Factory
155,Cochin,9.931308,76.2674136,Aswin Associates,9.940435105637514,76.2611997127533,Factory
156,Cochin,9.931308,76.2674136,Matsyafed Ice & Freezing Plant,9.945071,76.261154,Factory
157,Cochin,9.931308,76.2674136,Placo Plastics,9.946107,76.260021,Factory
158,Cochin,9.931308,76.2674136,Indian Marine Industries,9.914344766232205,76.26806550217411,Factory
